# key	title	source_url
federal-constitution	Federal Constitution of the Swiss Confederation	https://www.fedlex.admin.ch/eli/cc/1999/404/en
code-of-obligations	Code of Obligations	https://www.fedlex.admin.ch/eli/cc/27/317_321_377/en
civil-procedure-code	Civil Procedure Code	https://www.fedlex.admin.ch/eli/cc/2010/262/en
data-protection-act	Federal Act on Data Protection	https://www.fedlex.admin.ch/eli/cc/2022/491/en
civil-code	Swiss Civil Code	https://www.fedlex.admin.ch/eli/cc/24/233_245_233/en
criminal-code	Swiss Criminal Code	https://www.fedlex.admin.ch/eli/cc/54/757_781_799/en
criminal-procedure-code	Criminal Procedure Code	https://www.fedlex.admin.ch/eli/cc/2010/267/en
debt-enforcement-bankruptcy-act	Debt Enforcement and Bankruptcy Act	https://www.fedlex.admin.ch/eli/cc/11/529_488_529/en
administrative-procedure-act	Federal Act on Administrative Procedure	https://www.fedlex.admin.ch/eli/cc/1969/737_757_755/en
federal-supreme-court-act	Federal Supreme Court Act	https://www.fedlex.admin.ch/eli/cc/2006/218/en
private-international-law-act	Federal Act on Private International Law	https://www.fedlex.admin.ch/eli/cc/1988/1776_1776_1776/en
cartel-act	Cartel Act	https://www.fedlex.admin.ch/eli/cc/1996/546_546_546/en
