# document_id	title_contains	expected_type	subtitle_contains	min_metadata_rows	expected_tabs	notes
doc_6vfta1cd5xy642g7eb59j8wkfm	Federal Constitution of the Swiss Confederation	law	Fedlex	4	content,sections,citations,details	Fedlex SR 101 source-derived snapshot.
doc_67b9202dsxm52sa36dsfvcm6bt	Code of Obligations	law	Fedlex	4	content,sections,citations,details	Fedlex SR 220 source-derived snapshot.
doc_20djzpnf2yytwg9k74zyzjdeta	Civil Procedure Code	law	Fedlex	4	content,sections,citations,details	Fedlex SR 272 source-derived snapshot.
doc_2em3ky37mw9tm7hxh5nkw0zkh7	Federal Act on Data Protection	law	Fedlex	4	content,sections,citations,details	Fedlex SR 235.1 source-derived snapshot.
doc_2adkyv1qccx2pg3mqa7d233s0y	Swiss Civil Code	law	Fedlex	4	content,sections,citations,details	Fedlex SR 210 source-derived snapshot.
doc_30hr7xpm9ptmmanpbydwpxdv61	Swiss Criminal Code	law	Fedlex	4	content,sections,citations,details	Fedlex SR 311.0 source-derived snapshot.
doc_4n4nh4khmzfxh3hdshpvw6x4mp	Criminal Procedure Code	law	Fedlex	4	content,sections,citations,details	Fedlex SR 312.0 source-derived snapshot.
doc_6mej0nyg3qfenw0zbdmhtq6cmn	Debt Enforcement and Bankruptcy Act	law	Fedlex	4	content,sections,citations,details	Fedlex SR 281.1 source-derived snapshot.
doc_4pqxtsmegg44t5zg3es8d27b4v	Federal Act on Administrative Procedure	law	Fedlex	4	content,sections,citations,details	Fedlex SR 172.021 source-derived snapshot.
doc_1f0vr4pdkn9havmnws60mb9n6y	Federal Supreme Court Act	law	Fedlex	4	content,sections,citations,details	Fedlex SR 173.110 source-derived snapshot.
doc_3vyh663grb4kwyb96x4sd8xb1f	Federal Act on Private International Law	law	Fedlex	4	content,sections,citations,details	Fedlex SR 291 source-derived snapshot.
doc_1jyt8vad5ed2p294t31ctj53dw	Cartel Act	law	Fedlex	4	content,sections,citations,details	Fedlex SR 251 source-derived snapshot.
